id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Cactus Bloom,country,relaxed,0.55,104,0.74,0.67,0.62
12,Electric Forest,Volt & Vine,electronic,intense,0.88,140,0.63,0.91,0.08
13,Rainy Afternoon,Paper Lanterns,lofi,chill,0.33,68,0.58,0.55,0.90
14,Wildfire Heart,Cactus Bloom,rock,intense,0.89,148,0.52,0.70,0.12
15,Sunday Brunch,Slow Stereo,jazz,relaxed,0.40,88,0.78,0.57,0.85
16,Gravity Wave,Orbit Bloom,ambient,chill,0.25,55,0.68,0.38,0.95
17,Neon Paradise,Neon Echo,synthwave,happy,0.80,120,0.87,0.85,0.15
18,Headphones Only,LoRoom,lofi,focused,0.38,75,0.54,0.63,0.80
19,Golden Hour,Indigo Parade,indie pop,happy,0.72,116,0.85,0.78,0.42
20,Iron Curtain,Voltline,rock,moody,0.85,138,0.38,0.64,0.14
21,Breathe Easy,Coastal Drift,acoustic,relaxed,0.44,96,0.76,0.52,0.88
22,Late Night Diner,Mellow Frequency,r&b,moody,0.60,98,0.55,0.72,0.48
23,Blueprint,Urban Canvas,hip-hop,focused,0.74,92,0.50,0.83,0.20
24,Petal Storm,Sakura Grove,ambient,chill,0.30,62,0.70,0.44,0.93
25,Turbo Kick,Max Pulse,electronic,intense,0.95,160,0.65,0.94,0.04
26,Velvet Underground,Mellow Frequency,r&b,relaxed,0.58,94,0.72,0.69,0.55
27,Signal Lost,Urban Canvas,hip-hop,moody,0.70,86,0.42,0.77,0.25
28,Firefly Nights,Coastal Drift,acoustic,happy,0.50,102,0.82,0.61,0.84
29,Frozen Orbit,Sakura Grove,electronic,focused,0.65,122,0.46,0.75,0.30
30,Carnival Keys,Bright Tempo,pop,happy,0.83,126,0.90,0.88,0.22
